"","ec5_parent_uuid.tree","ec5_parent_uuid","ec5_uuid","created_at.stem","uploaded_at.stem","title.stem","Stem_number","Stem_distance","Angle_to_base","Angle_to_canopy","Stem_girth","created_at.tree","uploaded_at.tree","title.tree","Quarter","Distance_SamplePoint","Tree_Sp","Tag","lat_GPS_Location_tree","long_GPS_Location_tree","accuracy_GPS_Location_tree","UTM_Northing_GPS_Location_tree","UTM_Easting_GPS_Location_tree","UTM_Zone_GPS_Location_tree","Picture_ID","created_at","uploaded_at","title","Group","Date","Woodland","Transect","Sampling_point","lat_Point_GPS","long_Point_GPS","accuracy_Point_GPS","UTM_Northing_Point_GPS","UTM_Easting_Point_GPS","UTM_Zone_Point_GPS","Precentage_cover","Species_number","Max_height","Dominant_sp","Quadrat_photo"
"11","0d1e88aa-b6f7-4dc4-b644-ccd7ae5cb3e2","af553841-f2a6-4dd6-8e16-2139adcc325a","2a94d1ce-5c92-4f9d-9544-c2d32ba4d892","2025-10-06T13:16:33.000Z","2025-10-06T14:08:15.000Z",1,1,5.6,3,40,30,"2025-10-06T13:15:46.000Z","2025-10-06T14:08:13.000Z","QII","QII",6,"",NA,51.414714,-0.650345,4,5698563,663390,"30U","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=af553841-f2a6-4dd6-8e16-2139adcc325a_1759756544.jpg","2025-10-06T13:12:54.000Z","2025-10-06T15:04:26.000Z","6 T1 P5","6","06/10/2025","Farm wood","T1","P5",51.414766,-0.650415,5,5698569,663385,"30U",95,1,23,"Grass","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=0d1e88aa-b6f7-4dc4-b644-ccd7ae5cb3e2_1759756364.jpg"
"12","0d1e88aa-b6f7-4dc4-b644-ccd7ae5cb3e2","ff1a31d5-bd87-4142-bb6d-a284e480816c","ece1f2b2-fd67-497c-9daf-dce79c8edcb2","2025-10-06T13:14:47.000Z","2025-10-06T14:08:11.000Z",1,1,10,8,70,100,"2025-10-06T13:13:47.000Z","2025-10-06T14:08:09.000Z","QI","QI",3.1,"Betula pendula (Silver Birch)",NA,51.414795,-0.65035,4,5698572,663389,"30U","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=ff1a31d5-bd87-4142-bb6d-a284e480816c_1759756420.jpg","2025-10-06T13:12:54.000Z","2025-10-06T15:04:26.000Z","6 T1 P5","6","06/10/2025","Farm wood","T1","P5",51.414766,-0.650415,5,5698569,663385,"30U",95,1,23,"Grass","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=0d1e88aa-b6f7-4dc4-b644-ccd7ae5cb3e2_1759756364.jpg"
"13","1283875d-fc82-4fc7-97ec-3ba60530c052","a6401411-9d1e-4ac5-bd61-fb269be35d2c","a2535f40-c961-4556-b291-f388b5b68910","2025-10-06T14:40:45.000Z","2025-10-06T16:30:44.000Z",1,1,10,6,57,38,"2025-10-06T14:39:39.000Z","2025-10-06T16:30:42.000Z","QIV","QIV",2,"Betula pendula (Silver Birch)",NA,51.41443,-0.645246,12,5698543,663745,"30U","","2025-10-06T13:54:39.000Z","2025-10-06T16:30:31.000Z","3 T1 P4","3","06/10/2025","Nash's Copse","T1","P4",51.414399,-0.645261,18,5698540,663744,"30U",3,2,4,"moss","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=1283875d-fc82-4fc7-97ec-3ba60530c052_1759758868.jpg"
"14","1283875d-fc82-4fc7-97ec-3ba60530c052","e54ed2f3-35dc-4f85-a1fc-3e98c47d6aa8","d6d6e846-2ce8-4839-9bfd-a0477061910a","2025-10-06T14:31:00.000Z","2025-10-06T16:30:34.000Z",1,1,10,7,61,59,"2025-10-06T14:29:40.000Z","2025-10-06T16:30:32.000Z","QI","QI",2.6,"Betula pendula (Silver Birch)",NA,51.414361,-0.645178,20,5698536,663750,"30U","","2025-10-06T13:54:39.000Z","2025-10-06T16:30:31.000Z","3 T1 P4","3","06/10/2025","Nash's Copse","T1","P4",51.414399,-0.645261,18,5698540,663744,"30U",3,2,4,"moss","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=1283875d-fc82-4fc7-97ec-3ba60530c052_1759758868.jpg"
"15","1283875d-fc82-4fc7-97ec-3ba60530c052","b5bdcd8f-b623-40cb-bc93-5bffba362c44","cab33547-a015-4a4b-a0ba-0d29b65b48de","2025-10-06T14:33:31.000Z","2025-10-06T16:30:37.000Z",1,1,10,7,68,69,"2025-10-06T14:32:16.000Z","2025-10-06T16:30:36.000Z","QII","QII",0.77,"Betula pendula (Silver Birch)",NA,51.41444,-0.645332,27,5698544,663739,"30U","","2025-10-06T13:54:39.000Z","2025-10-06T16:30:31.000Z","3 T1 P4","3","06/10/2025","Nash's Copse","T1","P4",51.414399,-0.645261,18,5698540,663744,"30U",3,2,4,"moss","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=1283875d-fc82-4fc7-97ec-3ba60530c052_1759758868.jpg"
"16","1283875d-fc82-4fc7-97ec-3ba60530c052","5539e5ba-0c16-416d-8c83-2cb5b0f2db18","828c1b19-47ad-4c3f-84c9-f92df06427e9","2025-10-06T14:38:40.000Z","2025-10-06T16:30:40.000Z",1,1,10,4,52,84,"2025-10-06T14:35:48.000Z","2025-10-06T16:30:39.000Z","QIII","QIII",2.6,"Betula pendula (Silver Birch)",NA,51.414475,-0.645281,24,5698548,663743,"30U","","2025-10-06T13:54:39.000Z","2025-10-06T16:30:31.000Z","3 T1 P4","3","06/10/2025","Nash's Copse","T1","P4",51.414399,-0.645261,18,5698540,663744,"30U",3,2,4,"moss","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=1283875d-fc82-4fc7-97ec-3ba60530c052_1759758868.jpg"
"17","12a74366-c06d-4c33-8c84-1c904754b0fc","9b792310-a458-11f0-b330-e1f6db5c69eb","fd81b9a0-a458-11f0-9897-4533dc693cbb","2025-10-08T15:10:56.000Z","2025-10-08T15:11:20.000Z",1,1,13.5,9,50,192,"2025-10-08T15:08:12.000Z","2025-10-08T15:08:46.000Z","QI","QI",8.84,"Quercus robur (Pedunculated Oak)",1231,51.40811,-0.645,4,5697841,663785,"30U","","2025-10-08T13:55:25.000Z","2025-10-08T14:13:21.000Z","7 T1 P3","7","06/10/2025","Elms Slope","T1","P3",51.4076,-0.65504,4,5697762,663088,"30U",4,4,20,"Common nettle","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=12a74366-c06d-4c33-8c84-1c904754b0fc_1759931721.jpg"
"18","12a74366-c06d-4c33-8c84-1c904754b0fc","b0b032a0-a458-11f0-b330-e1f6db5c69eb","0df68630-a459-11f0-85fe-df5f0f10b39c","2025-10-08T15:11:24.000Z","2025-10-08T15:11:43.000Z",1,1,14.2,5,55,250,"2025-10-08T15:08:47.000Z","2025-10-08T15:09:12.000Z","QII","QII",1.34,"Quercus robur (Pedunculated Oak)",1230,51.40807,-0.645,4,5697836,663785,"30U","","2025-10-08T13:55:25.000Z","2025-10-08T14:13:21.000Z","7 T1 P3","7","06/10/2025","Elms Slope","T1","P3",51.4076,-0.65504,4,5697762,663088,"30U",4,4,20,"Common nettle","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=12a74366-c06d-4c33-8c84-1c904754b0fc_1759931721.jpg"
"19","12a74366-c06d-4c33-8c84-1c904754b0fc","c0081d80-a458-11f0-b330-e1f6db5c69eb","1ce3c860-a459-11f0-b380-25de10e94fd4","2025-10-08T15:11:49.000Z","2025-10-08T15:21:54.000Z",1,1,10,8,30,41,"2025-10-08T15:09:13.000Z","2025-10-08T15:20:23.000Z","QIV","QIV",4.69,"Acer pseudoplatanus (Sycamore)",NA,51.40806,-0.64504,4,5697835,663782,"30U","","2025-10-08T13:55:25.000Z","2025-10-08T14:13:21.000Z","7 T1 P3","7","06/10/2025","Elms Slope","T1","P3",51.4076,-0.65504,4,5697762,663088,"30U",4,4,20,"Common nettle","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=12a74366-c06d-4c33-8c84-1c904754b0fc_1759931721.jpg"
"20","190e4573-3da0-447e-b8fa-131ec808a9dd","bbc583c3-2b13-468c-a4c0-6a04d556b9f6","c32c8942-b4cc-4a50-84c6-59b67698a7f7","2025-10-06T13:10:37.000Z","2025-10-06T16:40:37.000Z",1,1,15,6,56,106,"2025-10-06T13:09:41.000Z","2025-10-06T16:40:36.000Z","QII","QII",4,"Quercus robur (Pedunculated Oak)",NA,51.411707,-0.650545,11,5698228,663386,"30U","","2025-10-06T13:05:23.000Z","2025-10-06T16:40:31.000Z","4 T1 P2","4","06/10/2025","Gunnes's Thicket","T1","P2",51.411678,-0.650579,7,5698225,663384,"30U",30,4,6,"Ground Ivy","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=190e4573-3da0-447e-b8fa-131ec808a9dd_1759755892.jpg"
"21","190e4573-3da0-447e-b8fa-131ec808a9dd","93108b16-6a1b-4ecd-95bf-bbbaef5cb2e9","f85d9a47-b41d-4064-9152-1956a8ab72b0","2025-10-06T13:13:15.000Z","2025-10-06T16:40:40.000Z",1,1,15,1,70,196,"2025-10-06T13:11:42.000Z","2025-10-06T16:40:39.000Z","QIII","QIII",8.15,"Quercus robur (Pedunculated Oak)",NA,51.411669,-0.650492,5,5698224,663390,"30U","","2025-10-06T13:05:23.000Z","2025-10-06T16:40:31.000Z","4 T1 P2","4","06/10/2025","Gunnes's Thicket","T1","P2",51.411678,-0.650579,7,5698225,663384,"30U",30,4,6,"Ground Ivy","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=190e4573-3da0-447e-b8fa-131ec808a9dd_1759755892.jpg"
"22","190e4573-3da0-447e-b8fa-131ec808a9dd","752b1fd3-9a22-407d-94f0-54d666b31b83","e992f01d-37ad-4b0b-ab64-03ce37aa1b8f","2025-10-06T13:16:20.000Z","2025-10-06T16:40:44.000Z",1,1,15,2,69,159,"2025-10-06T13:14:19.000Z","2025-10-06T16:40:42.000Z","QIV","QIV",3.8,"Quercus robur (Pedunculated Oak)",2677,51.411601,-0.650609,10,5698217,663382,"30U","","2025-10-06T13:05:23.000Z","2025-10-06T16:40:31.000Z","4 T1 P2","4","06/10/2025","Gunnes's Thicket","T1","P2",51.411678,-0.650579,7,5698225,663384,"30U",30,4,6,"Ground Ivy","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=190e4573-3da0-447e-b8fa-131ec808a9dd_1759755892.jpg"
"23","190e4573-3da0-447e-b8fa-131ec808a9dd","2b498262-a3f4-46a1-a4f2-dab3c07e567c","d4921a5a-bb88-4004-a967-fe2f59820f00","2025-10-06T13:08:14.000Z","2025-10-06T16:40:34.000Z",1,1,16,11,58,142,"2025-10-06T13:07:13.000Z","2025-10-06T16:40:32.000Z","QI","QI",8,"Quercus robur (Pedunculated Oak)",NA,51.411695,-0.650624,5,5698227,663381,"30U","","2025-10-06T13:05:23.000Z","2025-10-06T16:40:31.000Z","4 T1 P2","4","06/10/2025","Gunnes's Thicket","T1","P2",51.411678,-0.650579,7,5698225,663384,"30U",30,4,6,"Ground Ivy","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=190e4573-3da0-447e-b8fa-131ec808a9dd_1759755892.jpg"
"24","1da2e82f-2077-4d96-96e7-766c61979e25","c6406910-8b1a-420d-b815-fd9ca19b51ae","ac0e23c4-5e91-42f9-a0be-776c15b9388c","2025-10-06T15:00:18.000Z","2025-10-06T15:16:31.000Z",1,1,9.3,4,21,30,"2025-10-06T14:59:33.000Z","2025-10-06T15:16:29.000Z","QIII","QIII",7.4,"Acer pseudoplatanus (Sycamore)",NA,51.409906,-0.644839,5,5698041,663790,"30U","","2025-10-06T14:53:56.000Z","2025-10-06T15:16:16.000Z","group 5 T2 P5","group 5","06/10/2025","Elms Slope","T2","P5",51.409926,-0.64489,5,5698043,663786,"30U",20,1,10,"grass","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=1da2e82f-2077-4d96-96e7-766c61979e25_1759762433.jpg"
"25","1da2e82f-2077-4d96-96e7-766c61979e25","76a69120-cbd8-40fb-9ffd-22f62587ae6a","62eb0ea0-3329-4ab2-aa3c-a629b8875494","2025-10-06T14:56:23.000Z","2025-10-06T15:16:19.000Z",1,1,NA,NA,NA,36,"2025-10-06T14:56:07.000Z","2025-10-06T15:16:17.000Z","QI","QI",2.2,"Acer pseudoplatanus (Sycamore)",NA,51.409896,-0.64491,5,5698040,663785,"30U","","2025-10-06T14:53:56.000Z","2025-10-06T15:16:16.000Z","group 5 T2 P5","group 5","06/10/2025","Elms Slope","T2","P5",51.409926,-0.64489,5,5698043,663786,"30U",20,1,10,"grass","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=1da2e82f-2077-4d96-96e7-766c61979e25_1759762433.jpg"
"26","1da2e82f-2077-4d96-96e7-766c61979e25","84149b2e-3206-4281-be29-02907ce42849","f845bb8c-2273-4ed3-8bc3-fb4cafb65cbf","2025-10-06T15:03:24.000Z","2025-10-06T15:16:35.000Z",1,1,10.7,29,9,75,"2025-10-06T15:00:54.000Z","2025-10-06T15:16:33.000Z","QIV","QIV",7.5,"Quercus robur (Pedunculated Oak)",2135,51.409872,-0.644854,5,5698037,663789,"30U","","2025-10-06T14:53:56.000Z","2025-10-06T15:16:16.000Z","group 5 T2 P5","group 5","06/10/2025","Elms Slope","T2","P5",51.409926,-0.64489,5,5698043,663786,"30U",20,1,10,"grass","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=1da2e82f-2077-4d96-96e7-766c61979e25_1759762433.jpg"
"27","1da2e82f-2077-4d96-96e7-766c61979e25","76a69120-cbd8-40fb-9ffd-22f62587ae6a","96623b66-c888-47b4-b580-b3914f76d253","2025-10-06T14:57:31.000Z","2025-10-06T15:16:23.000Z",3,3,11.1,34,9,39,"2025-10-06T14:56:07.000Z","2025-10-06T15:16:17.000Z","QI","QI",2.2,"Acer pseudoplatanus (Sycamore)",NA,51.409896,-0.64491,5,5698040,663785,"30U","","2025-10-06T14:53:56.000Z","2025-10-06T15:16:16.000Z","group 5 T2 P5","group 5","06/10/2025","Elms Slope","T2","P5",51.409926,-0.64489,5,5698043,663786,"30U",20,1,10,"grass","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=1da2e82f-2077-4d96-96e7-766c61979e25_1759762433.jpg"
"28","1da2e82f-2077-4d96-96e7-766c61979e25","e5441214-6c9f-45db-9f36-ff2d816f2d6a","0aced71f-cc1b-40cb-a18d-639010181d8f","2025-10-06T14:58:57.000Z","2025-10-06T15:16:27.000Z",1,1,10,8,31,82,"2025-10-06T14:58:15.000Z","2025-10-06T15:16:25.000Z","QII","QII",4.4,"Acer pseudoplatanus (Sycamore)",NA,51.409935,-0.644985,7,5698044,663779,"30U","","2025-10-06T14:53:56.000Z","2025-10-06T15:16:16.000Z","group 5 T2 P5","group 5","06/10/2025","Elms Slope","T2","P5",51.409926,-0.64489,5,5698043,663786,"30U",20,1,10,"grass","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=1da2e82f-2077-4d96-96e7-766c61979e25_1759762433.jpg"
"29","1da2e82f-2077-4d96-96e7-766c61979e25","76a69120-cbd8-40fb-9ffd-22f62587ae6a","b6f58e96-5df5-4928-8d2b-e8a1c8280366","2025-10-06T14:56:37.000Z","2025-10-06T15:16:21.000Z",2,2,NA,NA,NA,56,"2025-10-06T14:56:07.000Z","2025-10-06T15:16:17.000Z","QI","QI",2.2,"Acer pseudoplatanus (Sycamore)",NA,51.409896,-0.64491,5,5698040,663785,"30U","","2025-10-06T14:53:56.000Z","2025-10-06T15:16:16.000Z","group 5 T2 P5","group 5","06/10/2025","Elms Slope","T2","P5",51.409926,-0.64489,5,5698043,663786,"30U",20,1,10,"grass","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=1da2e82f-2077-4d96-96e7-766c61979e25_1759762433.jpg"
"30","1dc2a8ba-f620-4b50-b66d-8d13028771a1","0009cdf9-ceca-4058-9319-1232e9d1ff75","f217caa7-3ecd-4f52-950a-750971298afa","2025-10-06T13:25:14.000Z","2025-10-06T15:33:41.000Z",8,8,129,9,36,31,"2025-10-06T13:05:21.000Z","2025-10-06T15:33:28.000Z","QIII","QIII",NA,"Corylus avellana (Hazel)",NA,51.412725,-0.653544,12,5698335,663174,"30U","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=0009cdf9-ceca-4058-9319-1232e9d1ff75_1759755918.jpg","2025-10-06T12:14:47.000Z","2025-10-06T15:33:20.000Z","2 T1 P2","2","06/10/2025","Mann's Copse","T1","P2",51.413211,-0.655232,26,5698385,663055,"30U",0,0,0,"","https://five.epicollect.net/api/media/silwood-masters-woodland-survey?type=photo&format=entry_original&name=1dc2a8ba-f620-4b50-b66d-8d13028771a1_1759752883.jpg"
